date,BIL-US,ETHA-US,EXI-US,EZU-US,GLD-US,IBIT-US,IEI-US,INDA-US,IXC-US,IXG-US,IXJ-US,IXN-US,JPXN-US,JXI-US,KXI-US,MCHI-US,MXI-US,RXI-US,SHY-US,SLV-US,SPY-US,TLT-US,UNG-US,USO-US,VIXY-US
2007-07-06,74.22397,26.24,47.571762,37.037685,64.96,26.63,71.19549,23.12183,24.635365,57.452507,21.62957,9.271026,47.0815,33.31737,19.230234,39.145004,48.36595,48.405495,60.700813,12.68,109.39131,49.002308,5320.96,437.44,633840.06
2007-07-09,74.24019,26.24,48.092297,37.199997,65.38,26.63,71.26767,23.12183,24.889704,57.23782,21.67305,9.279584,47.23701,33.427975,19.279835,39.145004,48.903355,48.459328,60.746487,12.68,109.40566,49.17845,5278.72,434.8,633840.06
2007-07-10,74.25634,26.24,47.50669,36.56301,65.61,26.63,71.68639,23.12183,24.667181,56.3729,21.408564,9.226805,47.14428,33.02244,19.15419,39.145004,48.157204,49.920086,60.860683,12.87,107.91831,50.011974,5493.76,437.76,633840.06
2007-07-11,74.25634,26.24,47.926018,36.979485,65.44,26.63,71.5131,23.12183,24.700283,56.655075,21.582468,9.249626,47.088795,33.117245,19.316206,39.145004,48.293858,47.875008,60.83023,12.845,108.68345,49.495396,5420.8,437.28,633840.06
2007-07-12,74.27257,26.24,48.60562,37.61374,66.02,26.63,71.433716,23.12183,25.220734,57.50159,21.926657,9.453622,47.290302,33.928314,19.507975,39.145004,49.558693,48.25943,60.792156,13.003,110.39957,49.325207,5374.72,437.92,633840.06
2007-07-13,74.28876,26.24,49.061085,37.63181,66.03,26.63,71.49147,23.12183,25.369692,57.869625,21.923037,9.472169,47.65094,34.049454,19.550959,39.145004,49.788086,48.551575,60.82258,12.963,110.72855,49.46019,5489.92,444.32,633840.06
2007-07-16,74.30493,26.24,49.11893,37.521557,65.82,26.63,71.65748,23.12183,25.038668,57.75309,21.912167,9.469312,47.447987,33.83351,19.517899,39.145004,49.39486,48.528522,60.883453,12.894,110.7142,49.935677,5282.56,446.08,633840.06
2007-07-17,74.337326,26.24,49.162304,37.66855,65.75,26.63,71.599724,23.12183,24.908104,57.661064,21.810726,9.51924,47.183704,33.844055,19.411823,39.145004,49.480057,48.359367,60.845432,12.815,110.65706,49.829964,5230.08,445.12,633840.06
2007-07-18,74.321144,26.24,49.003258,37.199997,66.62,26.63,71.7802,23.12183,25.2097,57.38502,21.691162,9.425092,47.01214,33.844055,19.332737,39.145004,49.30966,47.91345,60.936768,13.115,110.456795,50.01783,5355.52,452.64,633840.06
2007-07-19,74.337326,26.24,49.306896,37.28575,67.01,26.63,71.75127,23.12183,25.406479,57.32369,21.720146,9.542065,47.24942,34.08632,19.478222,39.145004,49.91915,48.47469,60.929134,13.169001,110.88588,50.006096,5524.48,456.64,633840.06
